Source,Gmag,BPmag,RPmag,Dist,Teff,Rad,Lum-Flame,Mass-Flame,Age-Flame,x_pos,y_pos
2164518763926371968,14.776946,15.242085,14.121928,2436.1846,7438.355,2.7381,19.196484,1.925,0.862,1365.3146444068507,-2017.6499515637877
2858912205687740032,9.161967,9.289668,8.920227,265.6429,7611.916999999999,2.0606,12.374056,1.747,1.007,-253.43714694669362,79.59750541273279
148610236424531072,14.806144,15.472582999999998,14.004863,896.8168,5527.4414,1.574,2.3792994,1.019,10.388,-738.876398584721,-508.2735881163927
194103835698083328,14.358888,14.617847,13.929025,3600.7969,13564.472,2.5834,248.80592,3.784,,-3160.470449616358,-1725.4462762286703
176895860249168000,13.681097,14.201804,12.994645,638.6292,5883.2793,1.4597,2.2538931,1.054,8.252,-462.918680347598,-439.94721328572854
423805455560516224,11.244624,11.309155,11.091827,1263.1176,12424.552,2.6422,181.24687,3.425,,-349.2462410425104,-1213.875254936617
237627934761404416,14.610542,15.009889,14.035992000000002,976.212,5420.5205,1.2637,1.7250749,0.946,13.477,-415.6622328107108,-883.2976718857661
3892788005808137088,14.961003,15.898499,13.998315,190.0819,3718.284,0.5544,0.052916247,0.547,13.281,-111.98048740838883,-153.5952445467947
3102655207514804224,13.948772,15.054398999999998,12.897548,119.7004,3866.5886,0.6099,0.076033905,0.6,10.902,50.57762246988097,-108.49004500623175
134164337263227520,14.690454999999998,15.315334,13.934226,358.1595,4617.519,0.6833,0.21104036,0.726,11.617,-310.9981302580594,-177.6468136957179
5638014328355960064,15.840823,15.865896,15.752679,14586.927,19994.19,2.5848,22.562067000000003,,,7999.853777163624,-12197.572662104943
4040748289184745600,13.778572,16.090609,12.3991,7981.2734,3467.0007,129.1593,2138.8242,1.927,1.342,-37.833493867146494,7981.183728764134
1807373575925923328,15.971267999999998,16.033852,15.835395000000002,9471.546,17441.25,1.8267,307.0909,,,2598.2701005278027,9108.19280180318
145572182718753152,14.403704,15.094081,13.592514,3418.9040000000005,5486.3267,7.4353,60.167633,2.687,0.503,-2647.1969121027396,2163.6203617478095
1363049176087895552,16.284925,16.337152,16.000397,8550.341999999999,11095.77,2.0086,54.680330000000005,2.682,,-8482.81160013635,1072.4997312615742
465799721636654464,14.050293,14.35039,13.558751,3791.3179,10770.446000000002,3.8497,120.982,2.992,0.278,-3495.6606898700634,-1467.8037199018004
171566905342399104,13.686631,14.311153,12.927001,279.3553,5019.175,0.8067,0.3664948,0.7959999999999999,11.816,-196.90913030780342,198.1569530435773
3375653151433242240,10.837058,13.115723,9.495729,2279.0544,3436.7832,120.534,1303.877,1.926,1.3430000000000002,-857.4956744340678,-2111.584742909037
2251719828512552064,14.396424,16.063760000000002,13.147145000000002,6782.8257,3631.4836,55.0516,370.2469200000001,2.707,0.503,4260.136912768486,5278.063845866956
2028805975019171840,15.20855,16.001778,14.287455,4803.588,24169.512,3.8052,,,,-3661.9586999743847,3108.780492962781
2074099531866973952,13.995359,15.642617,12.773634,5643.1035,3766.9902,58.7211,477.99033,1.872,1.454,-3122.8609392104054,-4700.25070246962
